Date,Time,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
01/01/2001,09:00:00 AM,075XX S PHILLIPS AVE,DECEPTIVE PRACTICE,RESIDENCE,0,0,0421,004,7,43,NA,NA,2001,NA,NA,NA
05/23/2001,12:00:00 PM,019XX N CLYBOURN AVE,DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,0,0,1811,018,43,7,NA,NA,2001,NA,NA,NA
05/01/2001,12:00:00 AM,064XX S MAPLEWOOD AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,1,1,0825,008,16,66,NA,NA,2001,NA,NA,NA
12/01/2001,09:00:00 AM,001XX W 126TH PL,THEFT,RESIDENCE,0,0,0523,005,9,53,1177893,1821142,2001,41.66452682,-87.624632395,"(41.66452682, -87.624632395)"
02/06/2001,12:01:00 AM,007XX E PERSHING RD,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,0212,002,4,36,NA,NA,2001,NA,NA,NA
09/01/2001,12:01:00 AM,042XX W ADDISON ST,THEFT,RESIDENCE,0,0,1731,017,30,16,1147656,1923555,2001,41.946192609,-87.732669068,"(41.946192609, -87.732669068)"
01/05/2001,09:00:00 AM,021XX S MICHIGAN AVE,DECEPTIVE PRACTICE,CREDIT UNION,0,0,0134,001,2,33,1177577,1890239,2001,41.85414395,-87.623702902,"(41.85414395, -87.623702902)"
08/01/2001,12:00:00 PM,016XX W 92ND ST,THEFT,APARTMENT,0,0,2221,022,21,73,1166789,1843641,2001,41.726511219,-87.664629194,"(41.726511219, -87.664629194)"
12/21/2001,10:30:00 PM,048XX S BISHOP ST,CRIMINAL DAMAGE,STREET,0,0,0933,009,20,61,1167439,1872794,2001,41.806497002,-87.661413947,"(41.806497002, -87.661413947)"
02/13/2001,09:00:00 AM,028XX W 84TH PL,THEFT,RESIDENCE,0,0,0835,008,18,70,1158471,1848560,2001,41.740183049,-87.694965425,"(41.740183049, -87.694965425)"
03/10/2001,12:00:00 AM,062XX S KOMENSKY AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,0813,008,23,65,NA,NA,2001,NA,NA,NA
11/30/2001,12:00:00 AM,048XX S THROOP ST,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,0933,009,20,61,NA,NA,2001,NA,NA,NA
